5061,chid,9597
8950,eiid,1714
5453,cfjh,5645
8069,ddgf,3345
8069,ddgf,8208
4049,ecjf,2314
8463,djhb,7864
8463,djhb,4726
1084,dacb,4929
1084,dacb,2279
8076,dfed,8729
8076,dfed,1917
4008,dhac,8354
4008,dhac,4959
7997,cjgh,8328
5581,cejf,5965
7399,cifi,1785
7161,cgfd,7518
6400,edif,3198
6399,dijb,7837
6399,dijb,9663
4449,cgba,6449
9450,dajh,2188
9450,dajh,1856
1709,dbbd,4863
1709,dbbd,6275
8392,ehjh,3615
8348,ceag,8251
8582,edgj,8846
2777,cebc,5802
1919,dhhf,8217
1919,dhhf,7105
5872,cgdi,9507
8996,cfjg,8523
8892,egci,7369
8357,cdhc,3149
5288,dgcc,8732
5288,dgcc,1230
2407,cbdd,2288
4744,dgfb,3430
4744,dgfb,2108
4574,dbdc,8851
4574,dbdc,1174
9002,cehf,1001
1226,cgcg,5042
4655,dibi,6046
4655,dibi,3838
5140,cagd,7429
7494,dddd,9807
7494,dddd,4424
2912,efga,3952
7716,dfdd,2143
7716,dfdd,5166
9778,cjcc,6015
7424,dhbj,6470
7424,dhbj,8563
9340,ehgf,5297
5847,ccgf,1688
1355,cabh,5634
3570,deeg,4065
3570,deeg,6271
1648,dcjj,3105
1648,dcjj,7522
8518,ceja,7860
9000,cecc,9074
4628,cgcd,2490
5947,ebce,9829
4307,djfg,8351
4307,djfg,6068
8231,djai,9085
8231,djai,1900
1087,ejcj,7018
6787,cdjj,9810
2567,ciac,3390
9569,ehjf,2493
8358,dhed,4266
8358,dhed,7997
4814,eeef,8930
7921,cbce,5736
3201,cgjd,6410
7789,efac,1985
7491,eica,4657
7877,dbjj,5609
7877,dbjj,4523
1806,eggb,6786
3816,dgbi,3346
3816,dgbi,7042
9613,dche,9953
9613,dche,2982
8698,ciha,4977
8899,cfad,5072
6202,egje,5111
6897,ccdc,8421
3682,eccg,4442
3747,dabj,4698
3747,dabj,2724
3089,ciad,1214
6597,dbeb,7323
6597,dbeb,4350
7530,chdc,7124
9558,ccbf,8146
7119,cbhd,2882
9443,cdea,5637
2078,cabe,2253
4726,cbgj,4550
3465,dheg,2065
3465,dheg,9690
5882,eehc,1189
3692,eieg,7120
5506,cici,9708
8624,dihd,9862
8624,dihd,4355
3156,ecjh,9362
3014,cedf,2006
7795,dgdi,4296
7795,dgdi,1997
5022,cfbe,9651
3381,cgge,9322
1743,cebd,1113
8843,cjah,8067
5732,ebed,2219
8445,eedh,8769
6407,edce,6850
1675,eggh,2760
3615,cdjf,3562
7149,dcdh,1705
7149,dcdh,9339
3653,effc,8049
8893,cedc,6581
3619,efjh,3849
3055,diij,7332
3055,diij,6963
2046,dghc,2737
2046,dghc,3713
6561,cefi,9103
1445,ddad,7220
1445,ddad,2802
7899,caci,3144
1490,eied,2395
8961,cbfd,8899
9839,cgib,8938
3632,cfeh,6741
8758,dffa,8522
8758,dffa,5244
5899,dfja,2189
5899,dfja,3140
3668,djef,5333
3668,djef,6750
3484,chfd,6425
7509,cbgh,8082
7444,daeb,4675
7444,daeb,1462
1043,ccea,8234
7733,eeih,1484
5213,chei,5770
5908,daja,9390
5908,daja,9360
8031,eefj,7394
3664,ehha,1317
9712,chfg,9180
1069,dbbj,4065
1069,dbbj,3336
9267,djab,6130
9267,djab,8816
8869,cbfe,2505
5814,cfie,3907
3535,cfcf,6294
1449,egcd,4367
6144,edad,1999
3248,eeah,3122
7204,cfcj,3527
1728,cccj,9558
9042,cieh,2279
5572,chhi,9678
6393,dgif,4143
6393,dgif,7565
5795,cbfc,5534
9616,dcjd,3791
9616,dcjd,2298
8338,eejc,9578
6676,dhhc,2642
6676,dhhc,2204
9710,dgdh,8589
9710,dgdh,1863
3407,effj,1049
4370,ddab,4934
4370,ddab,3667
8171,ebhj,1229
3054,ebff,2731
6551,cddd,6555
4228,edcd,8604
6603,cbhj,4148
8020,ecba,2291
7348,caia,2510
1896,cfbj,6242
4657,dfca,1473
4657,dfca,4879
8918,dcaa,6735
8918,dcaa,7554
7077,chae,4416
7444,dggb,4598
7444,dggb,2291
8523,djeg,9049
8523,djeg,3231
3946,ejeg,5637
9713,echd,7800
7065,egbe,1911
2616,cebe,2840
1582,cefe,9138
8279,ebej,5668
2995,efeg,3050
1130,ejjj,2599
8380,cgbb,9225
8636,cgfa,4510
6336,ddgh,9820
6336,ddgh,7866
5128,cgea,5126
6296,chbh,7213
7568,dfha,2497
7568,dfha,7535
6183,chdj,8319
1871,ehcg,5973
1799,dhej,2078
1799,dhej,6611
3265,ebfc,7013
7808,deci,7965
7808,deci,7215
9109,cibh,5395
5233,diec,6070
5233,diec,9644
5413,cdia,7228
3840,ecab,9992
4736,cagi,7165
6095,ejgh,7902
7470,ccfi,4688
8710,dabf,9283
8710,dabf,3265
4341,ebad,3275
8230,cgji,3047
8542,dhih,9281
8542,dhih,7938
1214,cjdj,2176
8688,ccdb,8136
3556,edhf,7074
3081,cfah,2312
7413,cjge,4933
4711,cbib,6076
2951,eadh,3584
3493,deai,3206
3493,deai,6051
6327,efjj,4129
5843,cieb,8980
2841,ehee,9345
1074,cebb,3704
7069,cidj,5321
8926,cfeb,5387
9564,dcdg,4765
9564,dcdg,3141
9329,dagh,3325
9329,dagh,5071
